timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-14 10:14:52.630993,-9548,-12584,7052,317,204,-239,right,good,قرأ
2025-12-14 10:14:53.161903,-8068,-13760,9572,-291,-1820,-569,right,good,قرأ
2025-12-14 10:14:53.761651,-8660,-14880,6292,187,3002,-3825,right,good,قرأ
2025-12-14 10:14:54.021436,-8036,-12712,6136,2046,200,-1429,right,good,قرأ
2025-12-14 10:14:54.418646,-8256,-13040,6148,102,-3459,-2012,right,good,قرأ
2025-12-14 10:14:54.690468,-8424,-13128,8884,1368,3229,-466,right,good,قرأ
2025-12-14 10:14:54.995316,-6184,-13560,3180,1629,-3928,659,right,good,قرأ
2025-12-14 10:14:55.308396,-7524,-13232,7540,774,1312,-1962,right,good,قرأ
2025-12-14 10:14:55.609738,-10156,-21984,3016,9578,-1579,8484,right,good,قرأ
2025-12-14 10:14:55.910535,-10828,-4832,12008,-7655,4083,-6921,right,good,قرأ
2025-12-14 10:14:56.229137,-6676,-12852,7968,-2567,-2843,-2271,right,good,قرأ
