timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-14 10:09:28.739188,5140,-14252,10172,-305,-98,653,right,good,كتب
2025-12-14 10:09:30.279682,3984,-14752,6948,-1192,-607,-368,right,good,كتب
2025-12-14 10:09:30.467833,3032,-15120,8844,1522,-6934,1110,right,good,كتب
2025-12-14 10:09:30.648014,4560,-15148,10476,-2378,1816,807,right,good,كتب
2025-12-14 10:09:30.948256,3564,-16200,9148,581,-1614,-1571,right,good,كتب
2025-12-14 10:09:31.203958,6432,-12220,16000,4224,-948,4772,right,good,كتب
2025-12-14 10:09:31.533684,4376,-15048,8448,-707,-1002,625,right,good,كتب
2025-12-14 10:09:31.818660,7512,-13140,14208,5813,8503,873,right,good,كتب
2025-12-14 10:09:32.024738,1064,-14908,256,-208,416,2299,right,good,كتب
2025-12-14 10:09:32.445572,9396,-9708,16504,7635,7665,-1998,right,good,كتب
2025-12-14 10:09:32.736621,3464,-14796,10204,-1086,-304,462,right,good,كتب
