timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2026-01-02T14:56:12.261585,0.857,-0.424,-0.393,-3.356,3.217,1.304,right,good,محمد
2026-01-02T14:56:12.533912,0.781,-0.44,-0.332,1.743,-10.249,-2.361,right,good,محمد
2026-01-02T14:56:12.621286,0.802,-0.422,-0.396,1.621,0.331,-12.132,right,good,محمد
2026-01-02T14:56:12.737684,0.849,-0.417,-0.353,1.56,22.881,-2.788,right,good,محمد
2026-01-02T14:56:12.809817,0.92,-0.462,-0.48,12.889,-16.524,1.716,right,good,محمد
2026-01-02T14:56:12.887782,0.826,-0.401,-0.388,-6.806,-30.844,-14.605,right,good,محمد
2026-01-02T14:56:13.045452,0.758,-0.447,-0.357,-7.264,67.202,16.22,right,good,محمد
2026-01-02T14:56:13.160684,0.861,-0.461,-0.253,-4.959,-32.936,-14.498,right,good,محمد
2026-01-02T14:56:13.249379,0.758,-0.309,-0.413,3.056,5.751,-13.048,right,good,محمد
2026-01-02T14:56:13.557255,0.859,-0.457,-0.282,9.866,15.079,-5.414,right,good,محمد
2026-01-02T14:56:13.633309,0.675,-0.422,-0.207,-14.821,25.751,-3.231,right,good,محمد
2026-01-02T14:56:13.712725,0.706,-0.355,-0.51,-1.722,23.934,9.41,right,good,محمد
2026-01-02T14:56:13.863702,0.871,-0.538,-0.277,7.514,-20.264,-18.009,right,good,محمد
2026-01-02T14:56:13.966301,0.716,-0.328,-0.409,8.995,-13.134,-15.154,right,good,محمد
2026-01-02T14:56:14.037660,0.862,-0.438,-0.292,1.789,9.812,0.128,right,good,محمد
2026-01-02T14:56:14.124888,0.841,-0.471,-0.374,10.553,-35.852,0.143,right,good,محمد
2026-01-02T14:56:14.203520,0.742,-0.425,-0.406,-6.653,-22.066,-12.406,right,good,محمد
2026-01-02T14:56:14.376037,0.772,-0.472,-0.44,-9.585,74.316,7.792,right,good,محمد
2026-01-02T14:56:14.478458,0.804,-0.47,-0.167,-10.837,-10.279,-11.139,right,good,محمد
2026-01-02T14:56:14.580888,0.78,-0.224,-0.541,-1.89,18.057,-7.444,right,good,محمد
2026-01-02T14:56:14.683096,0.809,-0.454,-0.282,9.102,-15.608,0.754,right,good,محمد
2026-01-02T14:56:14.785202,0.868,-0.436,-0.438,6.263,-45.18,0.586,right,good,محمد
2026-01-02T14:56:14.855538,0.716,-0.389,-0.248,-22.302,18.469,-5.215,right,good,محمد
2026-01-02T14:56:14.935194,0.649,-0.274,-0.686,-45.188,49.599,39.151,right,good,محمد
2026-01-02T14:56:15.092569,0.738,-0.165,-0.646,-4.195,1.018,-11.536,right,good,محمد
2026-01-02T14:56:15.195091,0.766,-0.316,-0.479,-4.363,-13.043,4.586,right,good,محمد
2026-01-02T14:56:15.273099,0.745,-0.36,-0.327,-9.249,-16.692,5.197,right,good,محمد
2026-01-02T14:56:15.353162,0.87,-0.299,-0.495,-12.592,-9.608,-14.299,right,good,محمد
2026-01-02T14:56:15.428136,0.691,-0.283,-0.309,-6.638,-29.012,-16.559,right,good,محمد
2026-01-02T14:56:15.604749,0.698,-0.259,-0.332,-7.493,-19.47,-8.07,right,good,محمد
2026-01-02T14:56:15.673739,0.664,-0.291,-0.248,-19.676,-28.05,17.456,right,good,محمد
2026-01-02T14:56:15.813195,0.494,-0.131,-0.717,-26.516,-104.737,106.571,right,good,محمد
2026-01-02T14:56:16.015504,0.602,-0.273,-0.38,0.583,-32.86,29.441,right,good,محمد
2026-01-02T14:56:16.116500,0.254,0.016,-0.218,-21.02,104.866,-1.811,right,good,محمد
2026-01-02T14:56:16.219544,0.316,-0.381,-0.203,-30.043,-10.279,-31.948,right,good,محمد
2026-01-02T14:56:16.295621,0.699,-0.327,-0.439,-6.837,147.339,-30.055,right,good,محمد
2026-01-02T14:56:16.372200,0.62,-0.285,-0.325,1.163,-6.508,-3.231,right,good,محمد
2026-01-02T14:56:16.542438,0.497,-0.205,-0.366,6.812,-23.699,12.907,right,good,محمد
2026-01-02T14:56:16.731327,0.592,-0.277,-0.367,-5.982,11.446,-4.422,right,good,محمد
2026-01-02T14:56:16.819338,0.631,-0.24,-0.395,-2.394,-6.172,0.311,right,good,محمد
2026-01-02T14:56:16.936385,0.729,-0.204,-0.471,1.026,42.652,1.792,right,good,محمد
2026-01-02T14:56:17.003902,0.621,-0.186,-0.405,13.102,-18.096,25.624,right,good,محمد
2026-01-02T14:56:17.140946,0.699,-0.248,-0.441,-4.638,1.14,1.029,right,good,محمد
2026-01-02T14:56:17.220832,0.63,-0.22,-0.476,-3.005,-38.814,0.479,right,good,محمد
