timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2026-01-02T14:52:30.310870,0.909,-0.505,-0.328,1.911,-12.02,3.426,right,good,كتب
2026-01-02T14:52:30.389724,0.727,-0.558,-0.272,4.889,15.537,-6.376,right,good,كتب
2026-01-02T14:52:30.531011,0.566,-0.335,-0.42,12.919,-8.829,-4.559,right,good,كتب
2026-01-02T14:52:30.735961,0.824,-0.556,-0.325,-26.333,39.034,-7.597,right,good,كتب
2026-01-02T14:52:30.811524,0.88,-0.49,-0.372,-6.302,-50.005,-18.132,right,good,كتب
2026-01-02T14:52:30.940767,0.958,-0.499,-0.199,0.629,17.461,-2.88,right,good,كتب
2026-01-02T14:52:31.012520,0.584,-0.53,-0.338,-5.554,9.156,-5.444,right,good,كتب
2026-01-02T14:52:31.159601,0.814,-0.356,-0.35,17.072,-27.256,-10.025,right,good,كتب
2026-01-02T14:52:31.350352,0.676,-0.521,-0.236,-4.867,-18.493,-1.185,right,good,كتب
2026-01-02T14:52:31.422989,0.65,-0.459,-0.012,-9.783,42.698,-10.59,right,good,كتب
2026-01-02T14:52:31.514510,0.657,-0.516,-0.204,2.889,23.69,0.082,right,good,كتب
2026-01-02T14:52:31.592534,0.797,-0.46,-0.331,8.263,-48.768,10.097,right,good,كتب
2026-01-02T14:52:31.665153,0.717,-0.511,-0.289,-2.73,12.118,-24.956,right,good,كتب
2026-01-02T14:52:31.739862,0.864,-0.54,-0.253,-3.478,40.896,-2.086,right,good,كتب
2026-01-02T14:52:31.917395,0.921,-0.545,-0.31,-0.318,-4.249,0.113,right,good,كتب
2026-01-02T14:52:31.990994,0.713,-0.58,-0.215,-22.333,-20.86,-24.223,right,good,كتب
2026-01-02T14:52:32.169428,1.058,-0.655,-0.314,1.866,39.843,35.746,right,good,كتب
2026-01-02T14:52:32.272197,0.908,-0.374,-0.382,29.728,-1.256,19.075,right,good,كتب
2026-01-02T14:52:32.374491,0.728,-0.49,-0.265,4.827,-45.226,2.769,right,good,كتب
2026-01-02T14:52:32.449960,0.819,-0.475,-0.202,0.385,32.209,-2.009,right,good,كتب
2026-01-02T14:52:32.579362,0.805,-0.599,-0.409,7.453,-47.302,3.334,right,good,كتب
2026-01-02T14:52:32.681664,0.982,-0.367,-0.457,50.034,-51.318,-11.353,right,good,كتب
2026-01-02T14:52:32.784338,0.979,-0.899,0.236,-82.959,57.415,28.983,right,good,كتب
2026-01-02T14:52:32.864752,0.966,-0.207,-0.836,-2.119,-27.119,2.388,right,good,كتب
2026-01-02T14:52:32.988863,0.755,-0.394,-0.349,12.965,-0.508,-24.712,right,good,كتب
2026-01-02T14:52:33.091344,0.752,-0.466,-0.255,14.766,7.415,-11.124,right,good,كتب
2026-01-02T14:52:33.178165,0.69,-0.594,-0.159,8.369,42.347,-1.994,right,good,كتب
2026-01-02T14:52:33.258746,1.051,-0.514,-0.389,4.69,41.125,-6.498,right,good,كتب
2026-01-02T14:52:33.335945,0.963,-0.458,-0.377,0.263,19.232,-5.612,right,good,كتب
2026-01-02T14:52:33.415136,0.922,-0.525,-0.311,-5.768,-6.936,6.113,right,good,كتب
2026-01-02T14:52:33.500841,0.842,-0.544,-0.276,3.667,-13.501,1.563,right,good,كتب
2026-01-02T14:52:33.603332,0.834,-0.423,-0.325,10.201,-4.631,12.723,right,good,كتب
2026-01-02T14:52:33.705956,0.888,-0.49,-0.304,1.637,13.736,6.372,right,good,كتب
