timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2026-01-01T18:58:16.604679,0.357,-0.232,0.909,5.021,0.0,4.565,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:16.786531,0.338,-0.221,0.964,-9.788,-3.267,2.443,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:16.977455,0.385,-0.255,0.953,2.685,-4.671,2.092,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:17.081827,0.385,-0.305,0.911,-26.353,-1.725,-16.061,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:17.292072,0.408,-0.241,0.883,13.235,-16.549,9.894,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:17.490586,0.368,-0.26,1.011,-5.482,6.504,-7.984,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:17.618972,0.477,-0.159,0.736,15.586,-19.511,17.497,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:17.727967,0.257,-0.251,0.922,-2.643,-2.946,-15.694,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:17.909740,0.328,-0.236,0.955,0.411,0.947,-6.045,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:18.057567,0.373,-0.221,0.895,4.777,-2.183,-1.832,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:18.206013,0.569,-0.285,1.056,-24.566,10.382,-10.366,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:18.282588,0.342,-0.249,0.991,-0.169,-15.084,7.787,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:18.364113,0.362,-0.242,0.913,-0.826,-0.168,-1.144,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:18.562362,0.389,-0.257,0.929,18.792,-10.381,6.901,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:18.724497,0.36,-0.223,0.849,-5.513,-3.114,8.794,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:18.824033,0.213,-0.337,0.653,-0.521,-33.542,3.314,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:19.026508,0.154,-0.034,0.849,9.831,-7.358,0.917,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:19.230582,0.63,-0.333,1.044,-0.063,-10.763,-5.251,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:19.341624,0.394,-0.415,0.895,-5.36,-3.145,-19.496,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:19.415931,0.387,-0.233,0.971,-13.849,4.321,-9.282,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:19.543913,0.41,-0.26,0.932,-1.086,-14.87,0.443,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:19.742134,0.407,-0.254,0.964,2.472,-2.733,0.718,right,good,العلم نور يضيء الطريق
2026-01-01T18:58:19.948267,0.305,-0.389,0.87,0.105,-67.16,37.939,right,good,العلم نور يضيء الطريق
