timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T19:40:08.346216,0.089,-0.085,1.027,-0.022,-0.262,-1.076,right,good,بيت
2025-12-16T19:40:08.408858,0.095,-0.072,1.038,0.085,0.47,0.847,right,good,بيت
2025-12-16T19:40:08.472452,0.077,-0.067,1.029,0.482,-0.644,0.435,right,good,بيت
2025-12-16T19:40:08.653813,0.088,-0.073,1.016,0.131,0.363,-0.527,right,good,بيت
2025-12-16T19:40:08.780812,0.088,-0.077,1.036,0.131,0.104,0.038,right,good,بيت
2025-12-16T19:40:08.845032,0.088,-0.076,1.037,0.009,-0.079,0.053,right,good,بيت
2025-12-16T19:40:08.910028,0.086,-0.075,1.023,0.085,-0.736,1.305,right,good,بيت
2025-12-16T19:40:08.972284,0.102,-0.085,1.047,1.398,0.18,-0.298,right,good,بيت
2025-12-16T19:40:09.316799,0.087,-0.078,1.039,0.146,0.012,-0.405,right,good,بيت
2025-12-16T19:40:09.376241,0.125,-0.114,1.146,10.726,12.287,7.229,right,good,بيت
2025-12-16T19:40:09.439094,0.027,-0.131,1.08,7.322,6.302,-2.924,right,good,بيت
2025-12-16T19:40:09.520178,0.153,-0.126,1.189,2.482,-4.583,2.908,right,good,بيت
2025-12-16T19:40:09.585061,0.097,-0.09,1.075,2.635,-5.56,6.298,right,good,بيت
2025-12-16T19:40:09.770674,0.21,-0.11,1.097,-1.09,-8.156,4.038,right,good,بيت
2025-12-16T19:40:09.831516,0.096,-0.041,1.168,-10.006,0.089,-0.756,right,good,بيت
2025-12-16T19:40:09.896377,0.095,-0.101,1.267,-0.235,7.661,-3.855,right,good,بيت
2025-12-16T19:40:09.957273,0.061,-0.11,1.054,1.017,5.417,-2.191,right,good,بيت
2025-12-16T19:40:10.188978,0.08,-0.091,1.053,1.597,-4.033,3.092,right,good,بيت
2025-12-16T19:40:10.258687,-0.06,-0.094,1.042,-7.258,-9.911,-7.977,right,good,بيت
2025-12-16T19:40:10.394145,0.135,-0.089,0.995,-6.037,-2.186,-5.626,right,good,بيت
2025-12-16T19:40:10.465228,0.139,-0.105,1.102,-1.716,-2.675,-2.802,right,good,بيت
2025-12-16T19:40:10.527812,0.126,-0.116,1.298,2.024,3.264,-5.153,right,good,بيت
2025-12-16T19:40:10.597273,0.098,-0.135,1.032,4.421,-21.53,6.13,right,good,بيت
2025-12-16T19:40:10.804021,0.075,-0.056,0.842,-5.823,-4.232,-22.512,right,good,بيت
2025-12-16T19:40:10.878836,0.013,-0.096,0.951,-24.022,73.829,24.756,right,good,بيت
2025-12-16T19:40:10.984250,0.117,0.004,0.941,11.78,32.15,14.756,right,good,بيت
2025-12-16T19:40:11.110685,0.157,-0.009,0.929,22.91,0.226,8.633,right,good,بيت
2025-12-16T19:40:11.177346,0.221,-0.141,1.052,-8.449,5.005,-12.756,right,good,بيت
2025-12-16T19:40:11.239537,0.322,-0.331,1.218,-51.976,-19.667,-4.954,right,good,بيت
2025-12-16T19:40:11.520934,0.336,0.061,0.723,53.123,-33.087,-0.832,right,good,بيت
2025-12-16T19:40:11.659478,0.187,-0.106,0.905,17.917,12.852,6.969,right,good,بيت
2025-12-16T19:40:11.723274,0.027,-0.021,1.08,-79.029,-46.797,19.656,right,good,بيت
2025-12-16T19:40:11.827976,-0.077,0.061,0.949,-8.144,-21.453,-1.657,right,good,بيت
2025-12-16T19:40:11.930066,0.082,-0.026,0.994,18.604,-14.797,-7.275,right,good,بيت
2025-12-16T19:40:12.070843,0.003,-0.109,1.23,-4.144,19.921,-18.664,right,good,بيت
2025-12-16T19:40:12.140851,-0.086,-0.107,1.172,12.803,18.867,-3.428,right,good,بيت
2025-12-16T19:40:12.219689,0.18,-0.417,1.546,-83.411,36.211,-2.924,right,good,بيت
2025-12-16T19:40:12.291503,0.406,0.181,0.654,-19.167,31.173,-5.931,right,good,بيت
2025-12-16T19:40:12.442831,0.244,0.091,0.827,36.879,-1.24,9.107,right,good,بيت
2025-12-16T19:40:12.510503,0.167,-0.072,1.002,-0.892,6.684,-5.168,right,good,بيت
2025-12-16T19:40:12.581793,0.17,-0.087,0.986,-5.472,18.959,-9.046,right,good,بيت
2025-12-16T19:40:12.749510,0.219,-0.059,0.931,1.215,8.073,-8.099,right,good,بيت
