timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T19:53:47.103030,0.364,-0.109,0.964,0.039,-2.72,-0.42,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:47.182176,0.363,-0.103,0.969,-0.251,-1.392,0.649,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:47.251618,0.354,-0.093,0.965,-0.739,-1.362,0.13,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:47.366212,0.364,-0.096,0.965,0.986,-0.583,0.359,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:47.582334,0.352,-0.105,0.965,0.559,-2.736,1.779,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:47.660961,0.334,-0.1,0.978,-0.51,-0.003,-0.206,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:47.743044,0.345,-0.098,0.969,0.757,-1.774,2.221,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:47.988390,0.344,-0.095,0.986,0.131,1.905,-0.023,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:48.063583,0.348,-0.1,0.973,-0.464,0.012,-0.557,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:48.217235,0.342,-0.084,0.949,5.994,-2.904,-0.649,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:48.489325,0.275,-0.084,0.989,-1.197,10.165,-2.817,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:48.621798,0.298,-0.094,0.896,11.291,1.768,1.321,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:48.691335,0.48,-0.1,0.831,-8.327,3.57,-9.458,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:48.756240,0.323,-0.086,0.858,-9.014,-2.14,-7.305,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:48.831883,0.316,-0.131,0.873,0.192,5.997,-0.573,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:48.913128,0.432,-0.134,0.988,0.467,-7.667,1.55,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:49.206853,0.431,-0.14,1.046,-3.365,-5.27,-4.878,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:49.285474,0.414,-0.129,0.901,-25.793,25.676,-14.374,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:49.364437,0.384,-0.082,0.95,10.116,-5.85,-2.664,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:49.443964,0.481,-0.037,0.893,17.047,-24.43,4.74,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:49.621366,0.316,-0.113,0.922,6.36,9.905,2.908,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:49.692058,0.371,-0.115,1.0,-1.121,-3.759,2.71,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:49.777032,0.422,-0.037,0.806,14.91,5.799,5.611,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:49.941852,0.396,-0.11,1.015,2.955,-5.866,3.03,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:50.022662,0.368,-0.146,1.03,-1.686,-5.041,-5.672,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:50.189507,0.522,-0.005,0.789,9.184,-19.896,-3.199,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:50.264589,0.428,-0.105,1.01,10.528,-5.316,3.946,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:50.436023,0.325,-0.093,1.021,4.085,-4.446,13.198,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:50.512425,0.336,-0.119,0.973,4.024,12.623,6.557,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:50.590176,0.473,-0.148,0.99,6.894,16.058,6.924,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:50.666951,0.348,-0.136,1.112,7.765,3.127,3.901,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:50.752948,0.425,-0.09,1.154,8.146,-2.095,-1.84,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:50.951517,0.385,-0.149,1.023,-6.388,-11.209,-1.122,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:51.034886,0.45,-0.141,0.967,0.971,-3.911,-0.069,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:51.105000,0.557,-0.091,1.058,6.62,-5.316,-1.153,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:51.172653,0.556,-0.152,1.126,2.665,-10.125,-1.962,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:51.245886,0.24,-0.156,1.097,-11.823,-3.316,-19.321,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:51.434661,0.461,-0.109,0.984,2.864,-4.873,-3.748,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:51.509766,0.454,-0.089,0.943,15.368,-17.499,3.702,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:51.667257,0.491,-0.132,0.921,10.314,9.951,7.122,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:51.744002,0.149,-0.12,1.093,-0.556,-0.446,13.824,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:51.814533,0.486,-0.146,0.982,5.963,5.661,8.893,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:51.885536,0.411,-0.159,1.083,6.91,7.799,4.45,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:51.994910,0.428,-0.14,1.028,4.91,2.562,1.519,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:52.077427,0.393,-0.167,1.048,3.368,2.073,-8.099,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:52.290027,0.367,-0.146,1.064,-8.067,-10.614,-12.313,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:52.365675,0.587,-0.018,0.825,-6.006,4.531,-0.679,right,good,محمد يكتب بخط جميل
2025-12-16T19:53:52.439833,0.945,0.011,0.819,67.581,46.898,-10.664,right,good,محمد يكتب بخط جميل
