timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T19:39:02.551823,0.234,-0.116,0.909,-0.556,-9.881,4.023,right,good,لغة
2025-12-16T19:39:02.706152,0.301,-0.058,0.969,-3.686,39.951,4.725,right,good,لغة
2025-12-16T19:39:02.780486,0.302,-0.076,0.961,1.856,-10.919,4.695,right,good,لغة
2025-12-16T19:39:02.852812,0.267,-0.072,0.964,0.879,-8.782,1.29,right,good,لغة
2025-12-16T19:39:03.013161,0.239,-0.096,0.974,3.475,-6.598,1.259,right,good,لغة
2025-12-16T19:39:03.076359,0.247,-0.086,0.971,-0.587,-1.988,0.16,right,good,لغة
2025-12-16T19:39:03.145146,0.263,-0.072,0.949,0.726,-0.568,-1.763,right,good,لغة
2025-12-16T19:39:03.215567,0.262,-0.074,0.969,-0.281,-0.476,-1.458,right,good,لغة
2025-12-16T19:39:03.325542,0.244,-0.013,0.932,3.001,-5.759,-2.756,right,good,لغة
2025-12-16T19:39:03.394604,0.121,-0.128,1.091,15.017,25.173,6.313,right,good,لغة
2025-12-16T19:39:03.456941,0.226,-0.017,0.964,28.375,32.272,-3.687,right,good,لغة
2025-12-16T19:39:03.834277,0.143,-0.071,1.027,-21.121,-30.385,-12.344,right,good,لغة
2025-12-16T19:39:04.035452,0.344,-0.111,1.009,5.215,-7.499,9.03,right,good,لغة
2025-12-16T19:39:04.241826,0.68,-0.187,0.796,-16.77,-10.033,-7.367,right,good,لغة
2025-12-16T19:39:04.307883,0.267,-0.125,0.861,8.559,6.806,1.046,right,good,لغة
2025-12-16T19:39:04.446655,0.291,-0.152,1.097,3.093,-13.301,-0.13,right,good,لغة
2025-12-16T19:39:04.512356,0.252,-0.059,1.094,-8.296,7.707,-3.565,right,good,لغة
2025-12-16T19:39:04.573961,0.35,-0.135,0.991,1.978,17.676,8.679,right,good,لغة
2025-12-16T19:39:04.641430,0.375,-0.125,0.802,17.261,32.302,3.351,right,good,لغة
2025-12-16T19:39:04.828779,0.401,0.065,0.775,-12.541,3.554,17.137,right,good,لغة
2025-12-16T19:39:04.970296,0.342,0.005,0.865,22.589,-11.148,10.801,right,good,لغة
2025-12-16T19:39:05.036280,0.327,-0.17,1.058,-13.243,-12.659,-4.573,right,good,لغة
2025-12-16T19:39:05.097682,0.218,0.058,0.711,-45.304,-2.659,-21.351,right,good,لغة
2025-12-16T19:39:05.368865,0.409,-0.392,1.032,46.452,-25.728,18.71,right,good,لغة
2025-12-16T19:39:05.440735,0.272,-0.074,0.886,11.994,-0.522,16.588,right,good,لغة
2025-12-16T19:39:05.573172,-0.061,-0.154,1.131,1.123,7.524,-19.809,right,good,لغة
2025-12-16T19:39:05.642279,0.396,0.01,0.822,-12.938,31.035,-10.176,right,good,لغة
2025-12-16T19:39:05.710096,0.303,-0.058,0.942,7.872,12.745,-8.481,right,good,لغة
2025-12-16T19:39:05.779005,0.354,-0.014,0.87,16.177,-0.354,-10.023,right,good,لغة
2025-12-16T19:39:05.969272,0.368,-0.117,0.991,-12.357,11.738,-10.985,right,good,لغة
2025-12-16T19:39:06.121136,0.37,-0.074,0.976,-14.357,11.875,-0.252,right,good,لغة
