timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T19:37:33.257936,0.151,-0.099,1.026,-0.709,-0.675,-0.863,right,good,سلام
2025-12-16T19:37:33.411117,0.166,-0.08,0.993,0.33,0.073,-0.176,right,good,سلام
2025-12-16T19:37:33.532697,0.154,-0.081,1.009,-1.762,0.15,1.321,right,good,سلام
2025-12-16T19:37:33.614809,0.165,-0.085,0.997,0.604,0.089,-1.641,right,good,سلام
2025-12-16T19:37:33.719666,0.167,-0.09,1.007,-0.006,0.562,0.527,right,good,سلام
2025-12-16T19:37:33.791977,0.162,-0.089,1.006,0.055,0.883,-0.588,right,good,سلام
2025-12-16T19:37:33.861307,0.162,-0.085,1.016,0.482,-0.507,-0.832,right,good,سلام
2025-12-16T19:37:33.922467,0.168,-0.082,1.01,0.467,0.409,-0.527,right,good,سلام
2025-12-16T19:37:34.230173,0.152,-0.07,1.006,0.207,0.959,-0.679,right,good,سلام
2025-12-16T19:37:34.299416,0.12,-0.026,0.996,12.421,10.821,-2.389,right,good,سلام
2025-12-16T19:37:34.364187,0.243,-0.115,1.024,5.307,-17.743,10.801,right,good,سلام
2025-12-16T19:37:34.432445,0.152,-0.111,1.019,-1.854,-12.858,2.404,right,good,سلام
2025-12-16T19:37:34.684457,0.349,-0.08,1.035,1.505,-12.354,-0.786,right,good,سلام
2025-12-16T19:37:34.844839,0.229,-0.131,0.903,-4.739,0.455,0.114,right,good,سلام
2025-12-16T19:37:34.920339,-0.088,-0.103,1.06,1.734,-9.621,2.435,right,good,سلام
2025-12-16T19:37:34.991523,0.276,0.027,1.096,-16.922,-11.377,-3.901,right,good,سلام
2025-12-16T19:37:35.058994,0.225,-0.156,1.116,-7.609,0.165,1.443,right,good,سلام
2025-12-16T19:37:35.177098,0.086,-0.14,1.19,17.169,0.883,-4.283,right,good,سلام
2025-12-16T19:37:35.252172,0.008,-0.104,1.033,5.856,1.31,-13.046,right,good,سلام
2025-12-16T19:37:35.328859,0.13,-0.134,1.191,-17.793,-7.362,-14.42,right,good,سلام
2025-12-16T19:37:35.406119,0.048,0.009,0.823,-42.51,29.844,2.939,right,good,سلام
2025-12-16T19:37:35.468573,0.25,0.009,0.843,-4.312,-2.568,0.069,right,good,سلام
2025-12-16T19:37:35.670768,0.085,-0.084,0.867,31.581,35.371,-2.542,right,good,سلام
2025-12-16T19:37:35.740565,0.174,-0.326,1.486,-43.884,0.455,2.511,right,good,سلام
2025-12-16T19:37:35.815985,0.164,0.009,0.87,-4.174,-17.637,-16.45,right,good,سلام
2025-12-16T19:37:35.876006,0.231,-0.027,0.936,23.581,-23.972,-14.496,right,good,سلام
2025-12-16T19:37:36.082457,0.298,-0.225,1.039,13.169,6.806,10.053,right,good,سلام
2025-12-16T19:37:36.141809,0.136,-0.074,1.122,0.864,-8.079,-1.611,right,good,سلام
2025-12-16T19:37:36.203694,0.171,-0.134,1.078,-17.655,-10.583,-9.977,right,good,سلام
2025-12-16T19:37:36.276325,0.138,-0.163,0.992,-5.732,0.028,-3.825,right,good,سلام
2025-12-16T19:37:36.493136,0.054,-0.114,1.037,-1.106,-1.484,-1.0,right,good,سلام
2025-12-16T19:37:36.565524,0.31,-0.45,0.895,35.047,12.363,1.015,right,good,سلام
2025-12-16T19:37:36.633668,0.142,-0.135,1.237,-0.846,14.028,-6.603,right,good,سلام
2025-12-16T19:37:36.790560,0.216,-0.153,1.076,-4.266,0.165,-0.756,right,good,سلام
2025-12-16T19:37:36.866283,0.171,-0.165,1.188,-9.304,-16.095,-6.542,right,good,سلام
2025-12-16T19:37:36.995266,-0.061,-0.018,0.874,-71.915,36.837,-1.931,right,good,سلام
2025-12-16T19:37:37.056997,0.326,-0.046,0.919,0.604,3.417,-2.283,right,good,سلام
2025-12-16T19:37:37.121224,0.244,-0.103,1.006,9.887,-2.568,1.931,right,good,سلام
2025-12-16T19:37:37.302056,0.259,-0.117,1.035,-2.327,7.386,3.137,right,good,سلام
