timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T18:12:28.805707,-1.581,-0.608,0.694,-0.063,1.396,-0.332,right,good,سمع
2025-12-16T18:12:28.869149,-1.604,-0.609,0.685,15.158,-35.566,7.668,right,good,سمع
2025-12-16T18:12:28.939520,-1.584,-0.586,0.785,11.952,-46.833,17.928,right,good,سمع
2025-12-16T18:12:29.009769,-1.642,-0.557,0.826,8.166,-18.757,16.294,right,good,سمع
2025-12-16T18:12:29.203680,-1.619,-0.522,0.888,-0.659,-22.238,0.508,right,good,سمع
2025-12-16T18:12:29.260246,-1.686,-0.99,0.971,18.685,40.755,9.836,right,good,سمع
2025-12-16T18:12:29.326725,-1.671,-0.578,0.856,2.959,44.465,-13.416,right,good,سمع
2025-12-16T18:12:29.545618,-1.62,-0.539,0.751,-19.27,59.075,-7.614,right,good,سمع
2025-12-16T18:12:29.627855,-1.698,-0.595,0.613,-7.147,-37.978,-6.072,right,good,سمع
2025-12-16T18:12:29.697147,-1.611,-0.588,0.715,2.761,-52.681,1.684,right,good,سمع
2025-12-16T18:12:29.760454,-1.597,-0.593,0.715,17.845,10.174,3.531,right,good,سمع
2025-12-16T18:12:29.829207,-1.615,-0.594,0.726,6.44,75.35,-7.034,right,good,سمع
2025-12-16T18:12:30.022497,-1.604,-0.616,0.628,-1.331,-0.604,-6.698,right,good,سمع
2025-12-16T18:12:30.138475,-1.57,-0.642,0.658,-2.659,6.236,-1.187,right,good,سمع
2025-12-16T18:12:30.203418,-1.57,-0.62,0.623,-1.315,7.869,-6.881,right,good,سمع
2025-12-16T18:12:30.274558,-1.635,-0.542,0.544,-0.201,-24.619,-23.08,right,good,سمع
2025-12-16T18:12:30.343469,-1.537,-0.686,0.698,0.547,4.113,-11.294,right,good,سمع
2025-12-16T18:12:30.648558,-1.544,-0.682,0.702,1.173,-6.665,-2.515,right,good,سمع
2025-12-16T18:12:30.779708,-1.546,-0.691,0.547,-0.46,-0.635,-0.118,right,good,سمع
2025-12-16T18:12:30.843205,-1.351,-0.606,0.739,2.669,1.09,-10.958,right,good,سمع
2025-12-16T18:12:30.905235,-1.484,-0.64,0.649,-0.857,-5.887,-1.294,right,good,سمع
2025-12-16T18:12:30.970553,-1.53,-0.676,0.603,-14.812,-2.65,10.004,right,good,سمع
2025-12-16T18:12:31.159589,-1.428,-0.708,0.65,6.257,-1.887,-10.439,right,good,سمع
2025-12-16T18:12:31.233596,-1.301,-0.68,0.839,-22.857,2.312,8.676,right,good,سمع
2025-12-16T18:12:31.304972,-1.755,-0.475,0.409,-25.285,31.655,30.279,right,good,سمع
2025-12-16T18:12:31.374841,-1.581,-0.612,0.522,15.692,-40.406,-37.462,right,good,سمع
2025-12-16T18:12:31.566922,-1.42,-0.677,0.393,5.311,-18.955,-1.828,right,good,سمع
2025-12-16T18:12:31.683515,-1.453,-0.652,0.722,-8.598,-11.795,2.569,right,good,سمع
2025-12-16T18:12:31.749812,-1.516,-0.678,0.586,2.425,-9.322,1.836,right,good,سمع
2025-12-16T18:12:31.817108,-1.496,-0.58,0.514,-10.689,-7.444,-12.393,right,good,سمع
2025-12-16T18:12:32.001348,-1.502,-0.648,0.488,-3.392,31.274,6.783,right,good,سمع
2025-12-16T18:12:32.064468,-1.654,-0.642,0.216,20.486,15.121,-15.553,right,good,سمع
2025-12-16T18:12:32.131563,-1.947,-0.701,0.808,-4.476,-8.055,-34.286,right,good,سمع
2025-12-16T18:12:32.197903,-1.154,-0.822,0.782,-8.063,20.785,-31.126,right,good,سمع
2025-12-16T18:12:32.390970,-1.301,-0.921,0.891,-36.018,37.64,43.363,right,good,سمع
2025-12-16T18:12:32.463652,-1.571,-0.6,0.483,3.021,4.022,4.065,right,good,سمع
2025-12-16T18:12:32.526464,-1.569,-0.648,0.5,-5.926,5.121,-0.149,right,good,سمع
2025-12-16T18:12:32.590703,-1.478,-0.673,0.486,-1.392,4.083,1.913,right,good,سمع
2025-12-16T18:12:32.787651,-1.555,-0.626,0.444,-4.827,0.159,3.455,right,good,سمع
