timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2026-01-04T12:18:00.148379,-1.166,-0.813,0.548,-2.768,3.188,-5.401,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:00.263382,-1.08,-0.817,0.443,2.911,2.959,-11.676,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:00.367758,-0.961,-0.834,0.506,-22.478,19.402,3.82,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:00.454448,-1.326,-0.843,0.71,-7.104,2.18,11.943,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:00.538290,-1.148,-0.819,0.53,-2.57,-1.499,0.477,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:00.673263,-1.166,-0.811,0.483,0.988,16.867,-27.813,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:00.776995,-1.017,-0.797,0.558,-27.852,10.012,-2.836,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:00.985935,-1.218,-0.882,0.726,25.446,-80.308,106.95,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:01.087864,-0.994,-0.853,0.629,2.133,14.043,-23.89,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:01.291328,-1.123,-0.828,0.66,-0.157,6.47,-5.874,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:01.510118,-1.176,-0.819,0.637,-4.799,-0.125,-3.752,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:01.697411,-1.338,-0.561,0.103,-49.486,26.104,23.546,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:01.779167,-0.935,-0.922,0.393,-99.852,-8.324,123.378,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:01.872294,-1.643,-0.234,0.333,25.492,8.547,3.927,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:02.004493,-0.646,-1.033,0.394,16.072,5.936,-47.218,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:02.209550,-1.163,-0.759,0.434,25.568,-1.133,-9.92,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:02.311550,-0.667,-0.931,1.147,-101.47,-27.316,14.706,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:02.384354,-1.285,-0.565,0.147,-26.585,6.455,4.614,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:02.519180,-1.231,-0.734,0.371,36.209,-6.4,-24.271,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:02.608943,-1.261,-0.745,-0.118,-34.234,12.348,-5.798,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:02.733126,-1.39,-0.608,0.283,-49.241,-5.347,50.324,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:02.824236,-1.148,-0.736,0.451,33.507,-4.049,-26.515,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:02.898398,-1.006,-0.795,0.335,-11.028,-19.438,21.194,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:02.977108,-1.1,-0.9,0.522,28.316,-19.27,20.11,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:03.132513,-1.59,-0.457,0.146,-42.646,-9.514,15.027,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:03.219635,-1.034,-0.83,0.709,-33.348,12.501,-11.599,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:03.341202,-1.158,-0.779,0.302,-10.6,1.982,11.958,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:03.439924,-0.806,-0.965,0.346,-42.89,-31.637,59.668,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:03.540603,-1.398,-0.585,-0.025,8.27,-7.209,-22.332,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:03.616493,-0.99,-0.9,1.24,-2.692,6.424,-5.569,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:03.746531,-1.024,-0.829,0.276,0.606,-2.461,-7.203,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:03.849356,-1.18,-0.783,0.323,34.591,-2.034,-27.615,right,good,الطالب يكتب درسه في الدفتر
2026-01-04T12:18:03.951327,-1.149,-0.796,0.474,-0.112,2.715,-4.622,right,good,الطالب يكتب درسه في الدفتر
