timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T16:45:51.568188,-0.281,-0.224,-0.239,2.93,-1.412,2.762,right,good,شمس
2025-12-18T16:45:51.775775,-0.256,-0.224,-0.345,20.014,4.023,2.655,right,good,شمس
2025-12-18T16:45:51.980905,-0.281,-0.217,-0.298,3.999,-2.084,2.075,right,good,شمس
2025-12-18T16:45:52.059364,-0.258,-0.241,-0.186,2.793,-0.526,2.747,right,good,شمس
2025-12-18T16:45:52.287853,-0.214,-0.25,-0.184,-1.971,-8.313,14.38,right,good,شمس
2025-12-18T16:45:52.596463,-0.247,-0.242,-0.242,2.533,0.375,-1.543,right,good,شمس
2025-12-18T16:45:52.696279,-0.295,-0.225,-0.217,-0.734,-4.969,4.503,right,good,شمس
2025-12-18T16:45:52.901644,-0.387,-0.222,-0.245,6.655,0.481,-4.2,right,good,شمس
2025-12-18T16:45:53.209713,-0.352,-0.221,-0.216,-0.23,-1.519,4.121,right,good,شمس
2025-12-18T16:45:53.515513,-0.218,-0.224,-0.145,-8.123,-9.32,1.77,right,good,شمس
2025-12-18T16:45:54.219336,-0.183,-0.232,-0.196,3.785,3.932,-4.017,right,good,شمس
2025-12-18T16:45:55.151240,-0.355,-0.213,-0.269,2.457,-1.198,1.968,right,good,شمس
2025-12-18T16:45:56.165414,-0.175,-0.206,-0.266,-3.726,-11.641,32.228,right,good,شمس
2025-12-18T16:45:57.190762,-0.37,-0.194,-0.011,-42.871,-13.351,-9.528,right,good,شمس
2025-12-18T16:45:58.255216,-0.222,-0.378,-0.182,6.045,-7.106,-6.627,right,good,شمس
