ax,ay,az,gx,gy,gz
0.292,-0.549,-0.456,3.28,1.25,0.906
0.273,-0.565,-0.49,26.638,9.22,13.638
0.29,-0.589,-0.439,5.112,1.785,5.929
0.302,-0.594,-0.413,5.905,2.059,3.852
0.306,-0.594,-0.392,-0.217,-4.811,2.524
0.26,-0.591,-0.438,-2.797,3.632,-0.85
0.258,-0.592,-0.418,-2.262,3.54,0.432
0.282,-0.594,-0.389,-1.789,4.731,-0.514
0.279,-0.61,-0.355,-2.98,-0.582,-0.194
0.273,-0.605,-0.361,-2.217,3.159,1.486
0.293,-0.586,-0.409,3.173,5.067,0.249
0.216,-0.554,-0.481,6.867,-9.956,-4.224
0.27,-0.586,-0.42,-1.026,-1.803,1.638
0.285,-0.587,-0.428,-1.438,1.22,0.738
0.271,-0.593,-0.39,-2.446,-14.078,2.875
0.282,-0.603,-0.379,5.142,13.495,-1.858
0.301,-0.597,-0.419,0.699,-3.834,-1.766
0.252,-0.597,-0.408,1.203,22.395,-4.697
0.357,-0.598,-0.426,-50.736,-83.223,-37.186
0.302,-0.556,-0.424,20.073,9.601,12.951
0.305,-0.591,-0.398,11.112,1.754,7.318
0.275,-0.565,-0.429,10.196,0.914,4.264
0.31,-0.58,-0.39,0.043,-0.49,4.432
0.28,-0.59,-0.388,0.364,9.861,2.997
0.287,-0.592,-0.371,-3.041,4.762,2.31
0.277,-0.59,-0.402,-1.026,7.143,0.142
0.277,-0.577,-0.437,-0.018,1.113,1.761
0.282,-0.561,-0.414,0.15,-4.994,3.272
0.276,-0.584,-0.41,6.012,-3.971,-1.155
0.275,-0.608,-0.388,-2.033,-3.971,0.035
0.273,-0.599,-0.39,-0.018,-3.635,1.089
0.219,-0.596,-0.387,-0.125,-4.796,-0.087
0.248,-0.589,-0.391,4.196,3.83,-0.529
0.284,-0.597,-0.377,-1.438,11.892,-0.56
0.263,-0.592,-0.402,-2.736,-4.948,1.333
0.292,-0.601,-0.371,1.6,-1.345,-0.514
0.283,-0.589,-0.416,4.18,-5.391,0.753
0.324,-0.611,-0.384,-1.82,-6.628,2.158
0.277,-0.602,-0.374,-0.003,0.762,-0.652
0.299,-0.599,-0.394,-0.614,0.365,0.722
0.279,-0.599,-0.357,-1.484,-2.017,0.081
0.313,-0.588,-0.439,3.432,-4.078,1.333
0.262,-0.599,-0.375,-1.102,-5.192,0.646
0.246,-0.592,-0.386,1.692,0.762,2.005
0.283,-0.61,-0.351,0.364,4.35,-2.407
0.275,-0.597,-0.409,-0.812,6.685,-1.476
0.291,-0.601,-0.4,-7.438,1.403,3.867
0.271,-0.582,-0.402,-7.377,0.182,4.402
0.296,-0.605,-0.395,-5.316,-4.872,2.127
0.254,-0.599,-0.392,5.692,3.586,-1.018
0.275,-0.616,-0.375,5.218,-0.994,-2.133
0.262,-0.613,-0.321,-1.682,3.204,-3.018
